Date,Open,High,Low,Close
20060116,6508,6558,6494,6549.5
20060117,6502.5,6510,6484.5,6495.5
20060118,6414.5,6462.5,6398.5,6440
20060119,6454.5,6480.5,6443,6464.5
20060120,6466,6480.5,6359,6384.5
20060123,6333,6383.5,6325.5,6381.5
20060124,6382.5,6402.5,6353,6368
20060125,6397.5,6474.5,6383.5,6458.5
20060126,6483,6609,6477,6576
20060127,6647,6684,6616.5,6680.5
20060130,6670,6706.5,6648.5,6685.5
20060131,6701,6728.5,6665.5,6709.5
20060201,6685,6777.5,6676,6753
20060202,6763.5,6790,6669.5,6676.5
20060203,6698,6717,6641.5,6680.5
20060206,6714,6732,6678,6694
20060207,6716,6728.5,6655.5,6702.5
20060208,6639,6721.5,6624,6695
20060209,6732,6786.5,6726,6765.5
20060210,6752,6772,6721.5,6733.5
20060213,6720.5,6786,6709,6778.5
20060214,6788,6812.5,6742.5,6788.5
20060215,6793,6816,6760,6790.5
20060216,6819,6825,6781,6811.5
20060217,6807,6835,6796,6820
20060220,6818.5,6827,6790.5,6818.5
20060221,6840,6874,6802,6824.5
20060222,6819,6895.5,6806,6880.5
20060223,6893,6906.5,6842.5,6883.5
20060224,6887,6901,6861.5,6886
20060227,6904.5,6939.5,6893,6934.5
20060228,6924,6937.5,6808.5,6817
20060301,6834,6899.5,6820.5,6886.5
20060302,6895.5,6905.5,6767,6795
20060303,6801.5,6831.5,6706.5,6743
20060306,6792.5,6795,6744.5,6769.5
20060307,6738,6770,6715,6765.5
20060308,6764,6777,6669.5,6697.5
20060309,6754,6759.5,6708.5,6743.5
20060310,6732,6834,6722.5,6814.5
20060313,6861.5,6875.5,6847.5,6867
20060314,6847,6890.5,6838.5,6881.5
20060315,6897.5,6931,6885,6912.5
20060316,6922.5,6922.5,6880.5,6910
20060317,6920.5,6958,6871.5,6888.5
20060320,6918,6945.5,6895.5,6913.5
20060321,6918,6948,6858.5,6918
20060322,6879,6963,6869,6951
20060323,6961,6971,6933,6961
20060324,6970,6988,6949.5,6981
20060327,6985.5,6989.5,6906,6923
20060328,6927.5,6952,6871.5,6900
20060329,6906,6960,6877,6924
20060330,6961.5,7004,6944.5,6996.5
20060331,6975,7004,6951.5,6974.5
20060403,7004.5,7038,6987,7035
20060404,7020.5,7038.5,7000.5,7019.5
20060405,7034,7045.5,7002,7036
